127.0.0.1 - - [28/Apr/2017:16:29:18 +0900] "GET / HTTP/1.1" 404 980
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:29:19 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 452
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:29:35 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:29:35 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:29:44 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 455
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:29:45 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:29:58 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:29:59 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:34:32 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:34:33 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:34:33 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:34:34 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:34:41 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:34:42 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:34:58 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:36:20 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:36:20 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:36:21 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:36:21 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:36:21 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:36:21 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:38:08 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:38:08 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:38:09 +0900] "GET /LECTURE04/ex1.html HTTP/1.1" 304 -
