127.0.0.1 - - [07/Jul/2017:16:02:29 +0900] "GET / HTTP/1.1" 404 980
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:02:32 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:02:32 +0900] "GET /LECTURE13/water1.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:02:41 +0900] "GET /LECTURE13/water1.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:03:40 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:03:40 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:06:36 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:06:36 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:06:51 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 460
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:06:51 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:08:24 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:08:24 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:22:05 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:22:05 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:22:34 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 445
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:22:34 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:25:21 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:25:21 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:25:35 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:25:35 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:28:02 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:28:02 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:28:36 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:28:36 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:31:33 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:31:33 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:31:54 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:31:54 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:36:33 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:36:33 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:36:44 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:36:44 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:36:58 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:36:58 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:37:18 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:37:18 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:38:50 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 664
